Have a nice time	samaya_acCA_bIwe[>KuSa_raho]
How about this	isake_bAre_meM_kyA_vicAra_hE
How do you do	Apa_kEse_hEM
How the deuce	are_bAbA
Handle with care	sAvaXAnI_baraweM
Welcome you all	Apa_saba_kA_svAgata
Chinmaya International Foundation	cinmaya_anwarrARtrIya_saMsWA
How are you	Apa_kEse_hEM
I am fine thank you	mEM_baDiyA_hUz_XanyavAxa
How old are you	ApakI_kyA_umra_hE
It is really pretty	yaha_saca_meM_suMxara_hE
Wish you happy new year	Apako_naye_varRa_kI_SuBakAmanAez
Things had just gone too far	parisWiwiyAz_kuCa_jyAxA_hI_KarAba_ho_gayI
So far so good	yahAz_waka_wo_saba_sahI_hE
Have you any idea    kyA_Apa_ko_pawA_hE
