8_puzzle	eta_pajZala#eta_pajZala#noun#2#RM
a-star_algorithm	e-stAra_kalana_viXi/e-stAra_elgorixama#e-stAra_kalana_viXi/e-stAra_elgorixama#noun#2#RM
a-star_algorithm_algorithm	e-stAra_kalana_viXi/e-stAra_elgorixama#e-stAra_kalana_viXi/e-stAra_elgorixama#noun#3#RM
a_priori_probability	e_prIyorI_probebilitI#e_prIyorI_probebilitI#noun#3#RM
a_star	e_stAra/e-stAra#e_stAra/e-stAra#noun#2#RM
a_star_algorithm	e_stAra_kalana_viXi/e_stAra_elgorixama#e_stAra_kalana_viXi/e_stAra_elgorixama#noun#3#RM
absolute_value	ebsalUta_vElyU#ebsalUta_vElyU#noun#2#RM
abstract_transfer	ebstrEkta_trAMsaPara#ebstrEkta_trAMsaPara#noun#2#RM
action_aider	ekSana_edara#ekSana_edara#noun#2#RM
activation_function	ektIveSana_PaMkSana/ektIveSana_PZaMkSana#ektIveSana_PaMkSana/ektIveSana_PZaMkSana#noun#2#RM
adaptive_algorithm	anukUlI_kalanaviXi/adeptiva_elgorixama#anukUlI_kalanaviXi/adeptiva_elgorixama#noun#2#RM
adjacency_representation	edajeMsI_riprajeMteSana#edajeMsI_riprajeMteSana#noun#2#RM
admissible_function	edamisiba_PaMkSana/edamisibala_PaMkSana/svIkArya_PZaMkSana/Edmisibala_PaMkSana#edamisiba_PaMkSana/edamisibala_PaMkSana/svIkArya_PZaMkSana/Edmisibala_PaMkSana#noun#2#RM
admissible_heuristic	edamisibala_hyUristika#edamisibala_hyUristika#noun#2#RM
admissible_heuristic_function	edamisibala_hyUristika_PaMkSana#edamisibala_hyUristika_PaMkSana#noun#3#RM
admissible_point	edamisibala_poYiMta#edamisibala_poYiMta#noun#2#RM
agenda_driven_search	ejeMdA_drivena_sarca#ejeMdA_drivena_sarca#noun#3#RM
agenda_driven_system	ejeMdA_drivena_sistama#ejeMdA_drivena_sistama#noun#3#RM
agent_based_planning	ejeMta_besda_plAniMga#ejeMta_besda_plAniMga#noun#3#RM
ai_programs	eAI_progrAmsa#eAI_progrAmsa#noun#2#RM
ai_systems	eAI_sistamsa#eAI_sistamsa#noun#2#RM
ai_techniques	eAI_tekniksa#eAI_tekniksa#noun#2#RM
alpha-beta_pruning	alPA-bItA_prUniMga#alPA-bItA_prUniMga#noun#2#RM
alpha_and_beta_cutoff	alPA_Ora_bItA_kataoYPa#alPA_Ora_bItA_kataoYPa#noun#4#RM
alpha_and_beta_cutoffs	alPA_eMda_bItA_kataoYPsa#alPA_eMda_bItA_kataoYPsa#noun#4#RM
alpha_beta_cutoffs	alPA_eMda_bItA_kataoYPsa/alPA_bItA_kataoYPa/alPA_bItA_kataoYPsa#alPA_eMda_bItA_kataoYPsa/alPA_bItA_kataoYPa/alPA_bItA_kataoYPsa#noun#3#RM
alpha_beta_pruning	alPA_bItA_prUniMga#alPA_bItA_prUniMga#noun#3#RM
alpha_cutoff	alPA_kataoYPa#alPA_kataoYPa#noun#2#RM
alpha_cutoffs	alPA_kataoYPsa#alPA_kataoYPsa#noun#2#RM
analog_signal	anurUpa_saMkewa/enAloYga_signala#anurUpa_saMkewa/enAloYga_signala#noun#2#RM
and-or_graphs	eMda-oYra_grAPsa#eMda-oYra_grAPsa#noun#2#RM
and_arc	eMda_Arka#eMda_Arka#noun#2#RM
and_or_graph	eMda_oYra_grAPa#eMda_oYra_grAPa#noun#3#RM
and_or_graphs	eMda_oYra_grAPsa#eMda_oYra_grAPsa#noun#3#RM
annealing_process	enIliMna_prakriyA#enIliMna_prakriyA#noun#2#RM
annealing_schedule	enIliMga_SedyUla#enIliMga_SedyUla#noun#2#RM
ant_colony_optimization	EMta_koYlonI_oYptimAijZeSana#EMta_koYlonI_oYptimAijZeSana#noun#3#RM
artificial_intelligence	kqwrima_buxXimawwA/ArtiPiSala_iMtelijeMsa/ArtiPIsiyala_iMtelijeMsa#kqwrima_buxXimawwA/ArtiPiSala_iMtelijeMsa/ArtiPIsiyala_iMtelijeMsa#noun#2#RM
artificial_intelligence_program	kqwrima_buxXimawwA_progrAma/ArtiPiSala_iMtelijeMsa_progrAma#kqwrima_buxXimawwA_progrAma/ArtiPiSala_iMtelijeMsa_progrAma#noun#3#RM
artificial_neural_networks	ArtiPiSiyala_nyUrala_netavarksa#ArtiPiSiyala_nyUrala_netavarksa#noun#3#RM
artificial_neuron	ArtiPiSiyala/ArtiPiSiyala_nyUroYna#ArtiPiSiyala/ArtiPiSiyala_nyUroYna#noun#2#RM
artificial_neurons	ArtiPiSiyala_nyUroYnsa#ArtiPiSiyala_nyUroYnsa#noun#2#RM
assignment_problem	asAinameMta_problama#asAinameMta_problama#noun#2#RM
